Название продукта;Ссылка на продукт;Банк;Изображение карты
Райфкарта + Visa Gold;https://minfin.com.ua//cards/card/view/rajfkarta-visa-gold;Райффайзен банк Аваль;https://minfin.com.ua//cimgs/cards/rajfkarta-visa-gold.png
Райфкарта + Visa Gold;https://minfin.com.ua//cards/card/view/rajfkarta-visa-gold;Райффайзен банк Аваль;https://minfin.com.ua//cimgs/cards/rajfkarta-visa-gold.png
Райфкарта Visa Reward;https://minfin.com.ua//cards/card/view/rajfkarta-visa-reward;Райффайзен банк Аваль;https://minfin.com.ua//cimgs/cards/rajfkarta-visa-reward.png
Социальная карта;https://minfin.com.ua//cards/card/view/soczialnaya-karta-1856779378;КИБ (Коммерческий Индустриальный Банк);https://minfin.com.ua//cimgs/cards/soczialnaya-karta-1856779378.png
Детская карта;https://minfin.com.ua//cards/card/view/detskaya-karta;КИБ (Коммерческий Индустриальный Банк);https://minfin.com.ua//cimgs/cards/detskaya-karta.png
Кредитка;https://minfin.com.ua//cards/card/view/kreditka-616745310;izibank;https://minfin.com.ua//cimgs/cards/kreditka-616745310.png
О.Карта;https://minfin.com.ua//cards/card/view/o-karta;O.Bank;https://minfin.com.ua//cimgs/cards/o-karta.png
Двойная выгода;https://minfin.com.ua//cards/card/view/dvojnaya-vy-goda;Первый инвестиционный Банк;https://minfin.com.ua//cimgs/cards/dvojnaya-vy-goda.png
Дебетная карта;https://minfin.com.ua//cards/card/view/debetnaya-karta;Первый инвестиционный Банк;https://minfin.com.ua//cimgs/cards/debetnaya-karta.png
Зарплатная карта;https://minfin.com.ua//cards/card/view/zarplatnaya-karta-1683686945;Первый инвестиционный Банк;https://minfin.com.ua//cimgs/cards/zarplatnaya-karta-1683686945.png
А-клуб Mastercard World Black Edition;https://minfin.com.ua//cards/card/view/a-klub-mastercard-world-black-edition;Альфа-Банк;https://minfin.com.ua//cimgs/cards/a-klub-mastercard-world-black-edition.png
Альфа Простир;https://minfin.com.ua//cards/card/view/alfa-prostir-1794717397;Альфа-Банк;https://minfin.com.ua//cimgs/cards/alfa-prostir-1794717397.png
Альфа Простир;https://minfin.com.ua//cards/card/view/alfa-prostir-1794717397;Альфа-Банк;https://minfin.com.ua//cimgs/cards/alfa-prostir-1794717397.png
World of Tanks Blitz;https://minfin.com.ua//cards/card/view/world-of-tanks-blitz-1129320384;Альфа-Банк;https://minfin.com.ua//cimgs/cards/world-of-tanks-blitz-1129320384.png
World of Warships;https://minfin.com.ua//cards/card/view/world-of-warships-572366573;Альфа-Банк;https://minfin.com.ua//cimgs/cards/world-of-warships-572366573.png
World of Tanks;https://minfin.com.ua//cards/card/view/world-of-tanks-950460349;Альфа-Банк;https://minfin.com.ua//cimgs/cards/world-of-tanks-950460349.png
"Кредитная карточка ""Фокс Клуб""";https://minfin.com.ua//cards/card/view/kreditnaya-kartochka-foks-klub-850441500;Альфа-Банк;https://minfin.com.ua//cimgs/cards/kreditnaya-kartochka-foks-klub-850441500.png
"Кредитная карточка ""ЕКО-Максимум""";https://minfin.com.ua//cards/card/view/kreditnaya-kartochka-eko-maksimum-981227045;Альфа-Банк;https://minfin.com.ua//cimgs/cards/kreditnaya-kartochka-eko-maksimum-981227045.png
"Кредитная карта ""Альфа - Connect"" MC Debit World";https://minfin.com.ua//cards/card/view/kreditnaya-karta-alfa-connect-mc-debit-world;Альфа-Банк;https://minfin.com.ua//cimgs/cards/kreditnaya-karta-alfa-connect-mc-debit-world.png
Сarbon;https://minfin.com.ua//cards/card/view/sarbon;Альфа-Банк;https://minfin.com.ua//cimgs/cards/sarbon.png
Кредитная Карта Travel;https://minfin.com.ua//cards/card/view/kreditnaya-karta-travel-477490367;Альфа-Банк;https://minfin.com.ua//cimgs/cards/kreditnaya-karta-travel-477490367.png
Все Просто;https://minfin.com.ua//cards/card/view/vse-prosto-1040771227;Альфа-Банк;https://minfin.com.ua//cimgs/cards/vse-prosto-1040771227.png
Red Cash;https://minfin.com.ua//cards/card/view/red-cash;Альфа-Банк;https://minfin.com.ua//cimgs/cards/red-cash.png
Red Cash;https://minfin.com.ua//cards/card/view/red-cash;Альфа-Банк;https://minfin.com.ua//cimgs/cards/red-cash.png
Выгода;https://minfin.com.ua//cards/card/view/vy-goda;Альфа-Банк;https://minfin.com.ua//cimgs/cards/vy-goda.png
Visa Signature;https://minfin.com.ua//cards/card/view/visa-signature;Укргазбанк;https://minfin.com.ua//cimgs/cards/visa-signature.png
Элит MC Worl Elite;https://minfin.com.ua//cards/card/view/e-lit-mc-worl-elite;Таскомбанк;https://minfin.com.ua//cimgs/cards/e-lit-mc-worl-elite.png
Red;https://minfin.com.ua//cards/card/view/red;Альфа-Банк;https://minfin.com.ua//cimgs/cards/red.png
Элит Visa Infinite;https://minfin.com.ua//cards/card/view/e-lit-visa-infinite;Таскомбанк;https://minfin.com.ua//cimgs/cards/e-lit-visa-infinite.png
UNEX CARD;https://minfin.com.ua//cards/card/view/unex-card;Юнекс Банк;https://minfin.com.ua//cimgs/cards/unex-card.png
Домовичок MC Debit;https://minfin.com.ua//cards/card/view/domovichok-mc-debit;Укргазбанк;https://minfin.com.ua//cimgs/cards/domovichok-mc-debit.png
Visa Classic;https://minfin.com.ua//cards/card/view/visa-classic-838905227;Прокредит Банк;https://minfin.com.ua//cimgs/cards/visa-classic-838905227.png
Кредитная карта FAMIGLIA Platinum;https://minfin.com.ua//cards/card/view/kreditnaya-karta-famiglia-807112540;Правэкс банк;https://minfin.com.ua//cimgs/cards/kreditnaya-karta-famiglia-807112540.png
Cappuccino MC Platinum;https://minfin.com.ua//cards/card/view/cappuccino-mc-platinum;Правэкс банк;https://minfin.com.ua//cimgs/cards/cappuccino-mc-platinum.png
Cappuccino MC Platinum;https://minfin.com.ua//cards/card/view/cappuccino-mc-platinum;Правэкс банк;https://minfin.com.ua//cimgs/cards/cappuccino-mc-platinum.png
Cappuccino Visa Classic;https://minfin.com.ua//cards/card/view/cappuccino-visa-classic;Правэкс банк;https://minfin.com.ua//cimgs/cards/cappuccino-visa-classic.png
Кредитная карта FAMIGLIA;https://minfin.com.ua//cards/card/view/kreditnaya-karta-famiglia;Правэкс банк;https://minfin.com.ua//cimgs/cards/kreditnaya-karta-famiglia.png
Эко-кредитка MC Debit;https://minfin.com.ua//cards/card/view/e-ko-kreditka-mc-debit;Укргазбанк;https://minfin.com.ua//cimgs/cards/e-ko-kreditka-mc-debit.png
Приватная Вояж Драйв Visa Infinite;https://minfin.com.ua//cards/card/view/privatnaya-voyazh-drajv-visa-infinite;Укргазбанк;https://minfin.com.ua//cimgs/cards/privatnaya-voyazh-drajv-visa-infinite.png
Приватная Вояж Драйв MC World Elite;https://minfin.com.ua//cards/card/view/privatnaya-premium-drajv-mc-world-elite;Укргазбанк;https://minfin.com.ua//cimgs/cards/privatnaya-premium-drajv-mc-world-elite.png
Приватная Премиум Драйв Visa Platinum;https://minfin.com.ua//cards/card/view/privatnaya-premium-drajv-visa-platinum;Укргазбанк;https://minfin.com.ua//cimgs/cards/privatnaya-premium-drajv-visa-platinum.png
Приватная Премиум Драйв MC Platinum;https://minfin.com.ua//cards/card/view/privatnaya-premium-drajv-mc-platinum;Укргазбанк;https://minfin.com.ua//cimgs/cards/privatnaya-premium-drajv-mc-platinum.png
Приватная Престиж Драйв Visa Gold;https://minfin.com.ua//cards/card/view/privatnaya-prestizh-drajv-visa-gold;Укргазбанк;https://minfin.com.ua//cimgs/cards/privatnaya-prestizh-drajv-visa-gold.png
Приватная Престиж Драйв MC Gold;https://minfin.com.ua//cards/card/view/privatnaya-prestizh-drajv-mc-gold;Укргазбанк;https://minfin.com.ua//cimgs/cards/privatnaya-prestizh-drajv-mc-gold.png
Graphite;https://minfin.com.ua//cards/card/view/graphite;Альфа-Банк;https://minfin.com.ua//cimgs/cards/graphite.png
Graphite;https://minfin.com.ua//cards/card/view/graphite;Альфа-Банк;https://minfin.com.ua//cimgs/cards/graphite.png
Black;https://minfin.com.ua//cards/card/view/black;Альфа-Банк;https://minfin.com.ua//cimgs/cards/black.png
White;https://minfin.com.ua//cards/card/view/white;Альфа-Банк;https://minfin.com.ua//cimgs/cards/white.png
Приватная Старт Драйв Visa Classic;https://minfin.com.ua//cards/card/view/privatnaya-start-drajv-visa-classic;Укргазбанк;https://minfin.com.ua//cimgs/cards/privatnaya-start-drajv-visa-classic.png
Приватная Старт Драйв MC World Debit;https://minfin.com.ua//cards/card/view/privatnaya-start-drajv-mc-world-debit;Укргазбанк;https://minfin.com.ua//cimgs/cards/privatnaya-start-drajv-mc-world-debit.png
Пенсионная/Социальная;https://minfin.com.ua//cards/card/view/pensionnaya-soczialnaya;Укргазбанк;https://minfin.com.ua//cimgs/cards/pensionnaya-soczialnaya.png
ПроЗапас+;https://minfin.com.ua//cards/card/view/prozapas;Укргазбанк;https://minfin.com.ua//cimgs/cards/prozapas.png
Зарплатная Вояж Драйв Visa Infinite;https://minfin.com.ua//cards/card/view/zarplatnaya-voyazh-drajv-visa-infinite;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-voyazh-drajv-visa-infinite.png
Зарплатная Вояж Драйв MC World Elit;https://minfin.com.ua//cards/card/view/zarplatnaya-voyazh-drajv-mc-world-elit;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-voyazh-drajv-mc-world-elit.png
Зарплатная Премиум Драйв MC Platinum Debit;https://minfin.com.ua//cards/card/view/zarplatnaya-premium-drajv-mc-platinum-debit;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-premium-drajv-mc-platinum-debit.png
Зарплатная Престиж Драйв Visa Gold;https://minfin.com.ua//cards/card/view/zarplatnaya-prestizh-drajv-visa-gold;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-prestizh-drajv-visa-gold.png
Зарплатная Престиж Драйв Visa Gold;https://minfin.com.ua//cards/card/view/zarplatnaya-prestizh-drajv-visa-gold;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-prestizh-drajv-visa-gold.png
Зарплатная Престиж Драйв MC World Debit Gold;https://minfin.com.ua//cards/card/view/zarplatnaya-prestizh-drajv-mc-world-debit-gold;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-prestizh-drajv-mc-world-debit-gold.png
Зарплатная Медиум Драйв Visa Classic;https://minfin.com.ua//cards/card/view/zarplatnaya-medium-drajv-visa-classic;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-medium-drajv-visa-classic.png
Зарплатная Медиум Драйв MC World Debit;https://minfin.com.ua//cards/card/view/zarplatnaya-medium-drajv-mc-world-debit;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-medium-drajv-mc-world-debit.png
Зарплатная Старт Драйв Visa Classic;https://minfin.com.ua//cards/card/view/zarplatnaya-start-drajv-visa-classic;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-start-drajv-visa-classic.png
Зарплатная Старт Драйв MC World Debit;https://minfin.com.ua//cards/card/view/zarplatnaya-start-drajv-mc-world-debit;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-start-drajv-mc-world-debit.png
Инстант Visa Classic;https://minfin.com.ua//cards/card/view/instant-visa-classic;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/instant-visa-classic.png
Корпоративная Visa Gold;https://minfin.com.ua//cards/card/view/korporativnaya-visa-gold;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/korporativnaya-visa-gold.png
Депозитная Visa Platinum;https://minfin.com.ua//cards/card/view/depozitnaya-visa-platinum;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/depozitnaya-visa-platinum.png
Депозитная Visa Gold;https://minfin.com.ua//cards/card/view/depozitnaya-visa-gold;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/depozitnaya-visa-gold.png
Депозитная Visa Classic;https://minfin.com.ua//cards/card/view/depozitnaya-visa-classic;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/depozitnaya-visa-classic.png
Депозитная Visa Classic;https://minfin.com.ua//cards/card/view/depozitnaya-visa-classic;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/depozitnaya-visa-classic.png
Частная Visa Platinum;https://minfin.com.ua//cards/card/view/chastnaya-visa-platinum;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/chastnaya-visa-platinum.png
Частная Visa Gold;https://minfin.com.ua//cards/card/view/chastnaya-visa-gold;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/chastnaya-visa-gold.png
Частная Visa Classic;https://minfin.com.ua//cards/card/view/debetovaya-visa-classic;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/debetovaya-visa-classic.png
Зарплатная Visa Platinum;https://minfin.com.ua//cards/card/view/visa-platinum;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/visa-platinum.png
Зарплатная Visa Gold;https://minfin.com.ua//cards/card/view/visa-gold-399379491;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/visa-gold-399379491.png
Зарплатная Visa Classic;https://minfin.com.ua//cards/card/view/visa-classic-1187599612;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/visa-classic-1187599612.png
Моя кредитка;https://minfin.com.ua//cards/card/view/moya-kreditka-1059551049;Ощадбанк;https://minfin.com.ua//cimgs/cards/moya-kreditka-1059551049.png
Виртуальная карта;https://minfin.com.ua//cards/card/view/virtualnaya-karta-1596661608;Банк Конкорд;https://minfin.com.ua//cimgs/cards/virtualnaya-karta-1596661608.png
Prepaid карта «X-Card»;https://minfin.com.ua//cards/card/view/prepaid-karta-x-card;Банк Конкорд;https://minfin.com.ua//cimgs/cards/prepaid-karta-x-card.png
ONE;https://minfin.com.ua//cards/card/view/one;Банк Конкорд;https://minfin.com.ua//cimgs/cards/one.png
ONE;https://minfin.com.ua//cards/card/view/one;Банк Конкорд;https://minfin.com.ua//cimgs/cards/one.png
"Карта ""Елит"" MC World Elite";https://minfin.com.ua//cards/card/view/karta-elit-mc-world-elite;Банк Пивденный;https://minfin.com.ua//cimgs/cards/karta-elit-mc-world-elite.png
"Карта ""Безмеж"" Visa Signature";https://minfin.com.ua//cards/card/view/karta-bezmezh-visa-signature;Банк Пивденный;https://minfin.com.ua//cimgs/cards/karta-bezmezh-visa-signature.png
"Кредитно-дебетная карта ""BISешка""";https://minfin.com.ua//cards/card/view/kreditno-debetnaya-karta-biseshka;Банк Инвестиций и Сбережений;https://minfin.com.ua//cimgs/cards/kreditno-debetnaya-karta-biseshka.png
Кредитная карта Pravex Platinum;https://minfin.com.ua//cards/card/view/kreditnaya-karta-pravex;Правэкс банк;https://minfin.com.ua//cimgs/cards/kreditnaya-karta-pravex.png
TWINS;https://minfin.com.ua//cards/card/view/twins;Банк Конкорд;https://minfin.com.ua//cimgs/cards/twins.png
КОКО КАРД (для выплат);https://minfin.com.ua//cards/card/view/koko-kard-dlya-vy-plat;Банк Форвард;https://minfin.com.ua//cimgs/cards/koko-kard-dlya-vy-plat.png
КОКО КАРД (Дебетовая карта);https://minfin.com.ua//cards/card/view/koko-kard-debetovaya-karta;Банк Форвард;https://minfin.com.ua//cimgs/cards/koko-kard-debetovaya-karta.png
КОКО КАРД (Кредитная карта);https://minfin.com.ua//cards/card/view/koko-kard-kreditnaya-karta;Банк Форвард;https://minfin.com.ua//cimgs/cards/koko-kard-kreditnaya-karta.png
IRON BANK;https://minfin.com.ua//cards/card/view/iron-bank;monobank;https://minfin.com.ua//cimgs/cards/iron-bank.png
